time,is_exploiting,x,z,y
0,false,,,
1,0,7.50,-1.34,4.71
1,0,7.72,-2.98,8.03
1,0,24.46,-2.87,9.23
1,0,38.30,1.40,8.17
1,0,49.87,2.91,9.02
1,0,61.93,10.02,8.67
1,0,60.42,25.25,13.18
1,0,60.36,31.95,14.91
1,0,57.44,42.64,18.20
1,0,45.31,42.28,21.14
1,0,30.80,43.22,4.58
1,0,20.42,40.18,14.33
1,0,2.88,43.95,6.78
2,0,8.38,0.28,5.60
2,0,7.92,0.22,8.08
2,0,22.34,0.66,8.86
2,0,39.21,1.80,11.53
2,0,49.50,6.26,12.18
2,0,59.35,10.00,9.62
2,0,60.42,21.23,12.74
2,0,61.72,32.18,15.74
2,0,59.99,45.52,14.95
2,0,42.97,42.97,22.21
2,0,31.53,43.66,7.85
2,0,18.07,37.99,12.12
2,0,4.00,41.03,6.79
3,0,8.04,-2.28,9.08
3,0,6.45,-2.28,5.59
3,0,27.46,-3.36,11.35
3,0,38.99,0.87,8.17
3,0,49.32,2.94,10.08
3,0,59.32,10.74,8.85
3,0,60.27,20.76,13.06
3,0,61.27,33.16,14.01
3,0,61.99,43.85,16.95
3,0,42.83,44.82,21.82
3,0,29.87,43.40,5.43
3,0,18.95,38.40,11.18
3,0,4.24,41.44,3.64
4,0,5.01,-0.69,5.11
4,0,6.60,-2.95,3.90
4,0,23.87,-3.47,10.26
4,0,36.52,0.82,11.06
4,0,48.32,3.68,8.75
4,0,62.51,12.52,13.42
4,0,61.97,20.82,13.47
4,0,60.61,33.01,18.22
4,0,58.00,43.97,14.89
4,0,42.87,46.02,21.27
4,0,31.25,43.32,3.86
4,0,22.65,38.52,11.61
4,0,4.31,42.00,3.81
5,0,5.37,0.05,4.46
5,0,6.29,-3.04,6.35
5,0,21.97,-1.47,9.85
5,0,35.77,1.38,8.23
5,0,48.37,2.51,8.84
5,0,61.68,10.46,10.36
5,0,64.28,23.88,12.46
5,0,64.39,31.29,14.82
5,0,56.35,43.74,17.65
5,0,44.38,43.39,21.53
5,0,30.00,48.48,5.82
5,0,23.47,39.54,12.71
5,0,3.86,40.66,4.00
6,0,5.53,-2.41,4.93
6,0,8.33,-1.49,6.78
6,0,23.48,-1.73,10.86
6,0,35.44,-0.34,11.94
6,0,50.46,6.10,9.51
6,0,59.87,10.02,8.43
6,0,61.63,24.60,13.75
6,0,61.80,32.91,14.85
6,0,56.26,42.62,19.02
6,0,43.06,43.76,21.28
6,0,30.47,46.44,5.19
6,0,18.23,40.30,13.33
6,0,4.19,40.82,4.74
7,0,5.55,0.82,7.79
7,0,10.22,-1.37,4.67
7,0,21.84,-1.36,12.83
7,0,35.93,4.75,9.95
7,0,49.01,5.57,12.27
7,0,59.50,10.73,9.43
7,0,61.76,21.17,12.66
7,0,63.57,31.69,16.24
7,0,57.10,42.54,15.00
7,0,44.42,44.01,21.73
7,0,33.67,44.69,3.73
